Statement,Actor1,Interaction,Information,Actor2,Decision
There should be an application that provides functionality for mobile users to propose and schedule meetings.,application,schedule meetings,mobile,users,
The wasp platforms must provide servicess that may be used by wasp applicationslications in order to personalize content for a specific end-user based on his or her user profile.,wasp platforms,provide services,personalize content,wasp applications,
The wasp platforms should provide servicess that may be used by wasp applicationslications in order to personalize content for a group of end-users based on their user profiles.,wasp platforms,provide services,group user,wasp applications,
The wasp platforms must provide servicess that may be used by a wasp applicationslication to charge the user for using one of his servicess.,wasp platforms,provide services,charge user,wasp applications,
The wasp platforms must allow end-users to provide profile and context information explicitly to applications or the platform.,wasp platforms,provide profile,context information,wasp applications,
A users profile must contain at least one charging point for a specific user.,users,contain ,one charging point,charging point,specific user
A wasp applicationslication must be authorized by the end-user before charging his account.,users,authorized ,,wasp applications,
The wasp platforms shall provide functionality to find points of interest that match the users explicit need and obey the restrictions following from the users profile and current context.,wasp platforms,"functionality,  ober restriction",POI match,users,
"The wasp platforms must allow end-users to place triggers to be alerted automatically for a certain type of point of interests, based on his/her context.",wasp platforms,allow,"trigger, alerted, type of services",users,
"The wasp platforms must allow end-users to place triggers in the platform to be alerted automatically for a certain type of servicess and events, based on his/her context.",wasp platforms,allow,"trigger, alerted, type of services",users,
The wasp platforms shall provide functionality to search for other people registered in the platform.,wasp platforms,functionality to search,other people,users,
The wasp platforms shall provide functionality to find servicess that match the users explicit need and obey the restrictions following from the users profile and current context.,wasp platforms, functionality to find servicess,match the users explicit need,users,
For the found servicess the wasp platforms shall provide (links to) the services profiles.,wasp platforms,provide links,,services profiles,
The wasp platforms shall allow end-users to maintain a buddy list.,wasp platforms,allow,maintain a buddy list,users,
The wasp platforms shall provide functionality for end-users to communicate with their buddies.,wasp platforms,functionality to communicate buddies,,users,
The wasp platforms should be able to use several communication servicess offered by the 3G platform.,wasp platforms,communication servicess,,communication servicess,
"The wasp platforms shall be able to update status and location information of buddies in the users buddy list based either on request of the user, after login into the wasp platforms and at a regular interval.",wasp platforms,update status and location,"buddies in buddy list, after login",buddies,
The wasp platforms must allow end-users to set alerts in the platform on changes in the status and/or location of his buddies.,wasp platforms,alerts changes in status and location,,users,
"When changes are discovered in the status and/or location of a users buddy, the wasp platforms must sent out notifications according to the alerts set by the user.",wasp platforms,sent notification,change discovery on status or location,users,
A wasp applicationslication shall be able to setup a phone call connection using the 3G Platform via the wasp platforms.,wasp platforms,setup phone call connection,,wasp platforms,3G platform
"The wasp platforms shall allow status information to be stored, updated, retrieved and deleted in the users profile in the wasp platforms if the user allows this.",wasp platforms,"store, update, retrieve, delete",status information,user profile,
"The wasp platforms shall allow end-users to give and remove Create, Read, Update, Delete (CRUD) access rights on parts of the user profile to other users, specific wasp applicationslications and the 3G Platform.",wasp platforms,give and remove ,CRUD access,users,"wasp applications, 3G platform"
"The wasp platforms shall allow other users, wasp applicationslications and/or the 3G Platform to ask the end- user for access rights on parts of the user profile.",wasp platforms,ask access rights,"other user (wasp applications, 3G)",other users,
The wasp platforms must be able to collect profile and context information on the user from multiple sources.,wasp platforms,collect,profile and context info,users,
The wasp platforms should allow end-users to delegate and remove the rights to give access to parts of the user profile to other users.,wasp platforms,delegate and remove,rights to give access,users,
The wasp platforms shall provide functionality to retrieve the current location of the user.,wasp platforms,retrieve,current location,users,
The wasp platforms must be able to retrieve status information from the 3G Platform.,wasp platforms,retrieve,status information,3G platform,
The wasp platforms must be able to retrieve location information from the 3G Platform.,wasp platforms,retrieve,location info,3G platform,
It must be possible for a wasp applicationslication to send out messages to users using the wasp platforms.,wasp applications,send message,who use wasp platforms,users,
"A wasp applicationslication should be able to automatically adapt content and the presentation of functionality to the users device, for which the wasp platforms may offer some generic adaptation servicess.",wasp applications,adapt ,"content, presentation",users device,adoptation sevices
The wasp platforms must be able to combine knowledge about the end-user (in terms of profile and context) and a specific information request into a search query on the services registries.,wasp platforms,combine knowledge,specific info request,users,services registery
The wasp platforms must be able to draw a map of a given area.,wasp platforms,draw,area,map,
The wasp platforms must be able to show the location of users on a map.,wasp platforms,show location,,map,
The wasp platforms must be able to show the location of various points of interests on a map.,wasp platforms,show location,POI,map,
The wasp platforms shall be able to obtain the geographic location of points of interests.,wasp platforms,obtain geographic location,POI,geographic location,
The wasp platforms must be able to display a route connecting two or more points on a map.,wasp platforms,display route connection,two or more points,map,
The wasp platforms should be able to provide the end-user with walking or driving instructions.,wasp platforms,provide instruction,walking or driving,users,
"The wasp platforms must be able to render all maps on small, mobile devices, as well as large, fixed terminals.",wasp platforms,render all maps,various device,map,
The platform must be able to access points of interests and servicess from a map.,wasp platforms,access,POI and servicess,map,
"The wasp platforms should be able to calculate a route between two or more arbitrarily chosen points, avoiding traffic jams or construction works.",wasp platforms,calculate route,"arbitrarily chosen point, avoid traffic and constuction works",route,
"The wasp platforms should have access to information about traffic jams and construction works, as well as suggested alternative routes.",wasp platforms,access to info,"traffic, construction work, alternative route",route,
The wasp platforms should be possible to determine the location of touristic attractions close to a calculated route.,wasp platforms,determine,location tourist attractions,route,
The wasp platforms should be able to determine whether a traffic jam lies on a suggested route.,wasp platforms,determine,traffic on suggested route,route,
