Unnamed: 0,RequirementText
0,Numbered lists under a given [CISS-number] requirement shall be understood as individual requirements.
1,"Requirements stating a capability to be ""supported"" shall be understood as feature or capability that shall be inherently available within the design and the assets in its full extent, without restrictions that feature or capability can be enabled and disabled at any time by the Purchaser."
2,"Requirements stating a capability to be ""supported"" shall be understood as feature or capability that shall be inherently available within the design and the assets in its full extent, without restrictions that feature or capability can be enabled and disabled at any time by the Purchaser."
3,"Requirements stating a capability to be ""implemented"" shall be understood as a feature or capability that shall be available within the design and the assets in its full extent, without restrictions that feature or capability shall be delivered activated and configured for use in the delivered system."
4,The CISS shall implement all mandatory Requirements and Rules as identified by MUST clauses in [4559-Ed4/AEDP-18].
5,The CISS shall for all applicable CSD Stream Server XML schema definition (XSD) files and Web Services Description Language (WSDL) files use the 4. 4 versions (see Table 3-1 in [4559-Ed4/AEDP-18]).
6,The CISS shall as a minimum implement the metadata attributes as defined in Table 4.
7,"The CISS implementation of Forward Compatibility shall ensure that all extensions are persisted, forwarded to replication partners ( in Bridgehead Routing), and delivered to clients as part of query response."
8,The CISS shall implement the CSD Query Service Interface in accordance with [4559-Ed4/AEDP-18].
9,The CISS shall enable clients to query against all queryable stream service metadata data as defined in Table 4.
10,The CISS shall throw a BadQuery exception when receiving a query that queries against any other metadata attributes beyond the attributes listed as queryable in Table 4.
11,The CISS shall implement sorting of query result enabling the query results to be sorted on any of the sortable metadata attributes as defined in Table 4.
12,The CISS shall ignore a sorting request on any attribute that is not listed as sortable in Table 4.
13,"In addition to the getCapabilities mandatory capabilities as defined in [4559- Ed4/AEDP-17] and the [4559-Ed4/AEDP-18], the CISSs implementation of the stream query service shall report on two additional capabilities as shown in Table 5."
14,The CISS shall implement the advanced search mechanism that identifies one or many sub-streams with the stream that matches the query result.
15,The CISS shall distinguish the different sub-streams with start and end times asprovided in the stream metadata.
16,The CISS shall use the urn:majiic:description:local part of the URI returned by the getQueryResultSegment to encode the time range of the sub-streams.
17,In case the query results in multiple sub-streams then the dynamic attributes of the query result shall be fused in accordance with the rules specified in [4559- Ed4/AEDP-18].
18,The CISS shall have support for populating the NSILSTREAM. sourceURL attribute with an HTTP URL through which the stream or sub-stream data can be downloaded.
19,"The CISS shall, when providing a URL to a client application for it to download sub stream data, construct a URL that point to the same subset of the stream as indicated in the sub stream metadata."
20,The CISS shall implement query algorithms that can to some degree counteract low update rate of the coverage area ( performing queries on convex hulls between each pair of recorded coverage areas as depicted in Figure 4).
