,Statement,Actor1,Actor2,Interaction,Information,Decision
0,There should be an application that provides functionality for mobile users to propose and schedule meetings.,mobile users,meetings,propose schedule,,
1,The WASP platform must provide services that may be used by WASP applications in order to personalize content for a specific end-user based on his or her user profile.,wasp platforms,wasp applications,personalize,content user profile,
2,The WASP platform should provide services that may be used by WASP applications in order to personalize content for a group of users based on their user profiles.,wasp platforms,wasp applications,personalize,content user profiles,users
3,The WASP platform must provide services that may be used by a WASP application to charge the user for using one of his services.,wasp platforms,wasp applications,charge,user services,
4,The WASP platform must allow users to provide profile and context information explicitly to applications or the platform.,users,applications platforms,provide,profile context,
5,A users profile must contain at least one charging point for a specific user.,users,profiles,contain,charging point,
6,A WASP application must be authorized by the end-user before charging his account.,wasp applications,accounts,authorize,,users
7,The WASP platform shall provide functionality to find points of interest that match the users explicit need and obey the restrictions following from the users profile and current context.,wasp platforms,points interest,find,users profile context,
8,"The WASP platform must allow users to place triggers to be alerted automatically for a certain type of point of interests, based on his/her context.",users,triggers,place,context point interests,
9,"The WASP platform must allow users to place triggers in the platform to be alerted automatically for a certain type of services and events, based on his/her context.",users,triggers,place,context services events,
10,The WASP platform shall provide functionality to search for other people registered in the platform.,wasp platforms,people,search,people platform,
11,The WASP platform shall provide functionality to find services that match the users explicit need and obey the restrictions following from the users profile and current context.,wasp platforms,services,find,users profile context,
12,For the found services the WASP platform shall provide (links to) the service profiles.,wasp platforms,service profiles,provide,,
13,The WASP platform shall allow users to maintain a buddy list.,wasp platforms,buddy lists,maintain,,
14,The WASP platform shall provide functionality for users to communicate with their buddies.,wasp platforms,users,communicate,buddies,
15,The WASP platform should be able to use several communication services offered by the 3G platform.,wasp platforms,communication services,use,,
16,"The WASP platform shall be able to update status and location information of buddies in the users buddy list based either on request of the user, after login into the WASP platform and at a regular interval.",wasp platforms,buddies,update,status location,
17,The WASP platform must allow users to set alerts in the platform on changes in the status and/or location of his buddies.,users,buddies,set,status location,
18,"When changes are discovered in the status and/or location of a users buddy, the WASP platform must sent out notifications according to the alerts set by the user.",wasp platforms,notifications,sent,status location alerts,
19,A WASP application shall be able to setup a phone call connection using the 3G Platform via the WASP platform.,wasp applications,phone connections,setup,3g platform,
20,"The WASP platform shall allow status information to be stored, updated, retrieved and deleted in the users profile in the WASP platform if the user allows this.",wasp platforms,status information,store update retrieve delete,users profile,user
21,"The WASP platform shall allow users to give and remove Create, Read, Update, Delete (CRUD) access rights on parts of the user profile to other users, specific WASP applications and the 3G Platform.",users,access rights,give remove,user profile,wasp applications platform
22,"The WASP platform shall allow other users, WASP applications and/or the 3G Platform to ask the end- user for access rights on parts of the user profile.",wasp platforms,access rights,ask,user profile,
23,The WASP platform must be able to collect profile and context information on the user from multiple sources.,wasp platforms,users,collect,profile context information,
